20,10,240
14
13
5
9
17
2
12
9
4
16
11
15
5
6
3
3
11
17
5
5
16,2
9,6
3,5
17,5
13,5
12,2
10,6
15,4
10,9
12,6
15,2
5,5
20,8
4,9
6,5
2,5
11,5
12,6
11,5
5,5
20,5
17,1
17,6
20,2
3,4
16,5
10,6
1,8
3,5
12,2
5,9
7,8
8,7
5,5
7,4
2,4
14,5
6,5
12,3
17,5
2,6
2,8
10,3
19,2
17,4
3,4
3,6
10,5
16,6
5,5
10,5
5,8
15,4
16,6
15,2
20,5
3,5
12,5
19,2
11,5
5,2
3,6
18,6
18,5
20,10
7,5
5,2
10,8
20,5
13,6
20,4
12,5
20,5
16,2
15,6
17,3
9,8
3,8
17,5
13,4
9,2
12,5
5,8
13,5
3,5
15,5
15,8
4,6
10,5
5,2
9,5
19,4
14,10
8,10
15,2
19,4
5,2
17,2
9,6
10,5
17,4
15,6
12,7
20,6
10,5
1,8
4,6
8,2
3,4
11,5
8,6
10,2
20,4
5,8
16,8
1,6
7,2
11,5
17,6
14,6
11,8
16,4
11,4
18,5
5,6
19,5
5,5
8,5
20,5
2,6
13,5
13,5
5,5
5,6
20,2
11,2
18,6
15,4
1,5
6,4
20,10
7,5
5,4
8,6
3,2
15,5
17,5
5,5
2,9
5,5
1,8
14,5
13,5
3,3
11,5
18,4
6,5
6,6
17,6
14,5
2,4
6,2
19,2
12,5
6,5
20,5
2,4
8,5
4,8
15,6
17,5
6,5
11,8
10,5
14,6
15,10
12,6
18,5
12,5
2,4
14,6
17,4
8,5
4,10
6,2
4,9
4,2
7,2
2,5
3,5
8,6
17,6
19,6
7,6
13,6
8,9
15,5
15,5
10,4
17,6
10,9
11,2
20,5
7,6
18,9
15,6
18,10
8,4
3,10
10,6
15,4
4,4
15,2
15,5
17,9
4,5
11,4
6,6
11,5
2,4
12,4
12,5
15,4
2,5
9,2
16,10
3,2
20,9
4,5
17,5
2,2
12,6
20,4
10,5
13,6
20,5
3,7
16,8
14,9
19,2
