20,10,120
8
11
9
11
9
8
10
11
10
9
11
10
10
11
10
11
10
8
11
8
11,8
3,2
7,2
15,10
3,5
17,5
14,8
15,2
4,2
10,4
6,8
10,2
10,5
13,1
6,4
11,10
20,4
9,6
20,5
18,2
16,5
2,5
7,10
4,10
16,2
11,5
9,7
2,10
15,7
14,10
2,10
10,4
15,2
5,3
7,2
8,2
16,8
3,10
14,8
8,1
3,2
14,2
17,10
1,6
19,7
12,8
17,7
1,10
19,8
7,2
19,2
18,10
1,2
18,10
18,5
15,4
1,7
9,2
9,7
20,2
14,2
8,2
11,8
5,2
13,9
19,2
6,2
12,10
8,7
17,1
6,8
13,5
10,2
9,5
13,10
3,8
19,7
15,5
15,10
2,4
19,7
20,2
3,2
10,8
6,2
3,6
19,4
14,5
8,2
6,2
9,10
3,3
9,3
9,2
14,2
4,2
10,1
15,1
19,2
16,8
18,2
15,5
11,10
16,8
16,7
11,8
20,2
4,5
2,2
4,8
10,2
8,2
14,8
6,7
2,2
10,2
2,7
15,1
20,6
17,10
