20,10,120
13
10
2
7
5
12
3
14
12
2
14
2
5
5
2
11
4
5
4
9
3,10
8,5
12,7
18,5
10,6
8,4
17,2
10,9
16,4
8,10
8,3
8,1
10,7
9,6
19,1
4,10
10,4
11,1
20,10
16,6
18,2
3,2
16,4
4,10
13,10
11,1
8,7
5,10
15,1
15,9
12,5
2,10
9,5
17,4
13,4
11,5
12,4
3,1
3,10
9,10
3,10
18,7
16,8
16,1
2,9
14,3
7,7
16,9
17,6
20,2
9,2
16,10
4,6
19,9
13,1
10,5
10,7
10,4
19,10
2,7
19,6
10,8
18,4
5,10
11,1
5,8
7,6
19,4
5,7
15,4
20,1
12,2
2,7
1,2
14,5
9,2
16,9
4,5
18,3
11,6
4,6
15,5
10,10
7,6
3,4
20,10
11,2
9,7
16,10
7,5
6,1
8,3
1,1
12,5
20,10
8,1
19,10
8,4
9,2
1,9
16,3
6,7
14,10
9,1
16,2
18,6
4,8
18,10
1,4
7,2
20,6
16,4
7,2
15,1
6,9
9,5
18,7
6,6
11,9
1,7
