15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,6,5
,0,1,3,2
,0,2,9,3
,0,3,9,4
,0,4,2,1
,0,5,7,5
,0,6,1,2
,0,7,4,3
,0,8,5,4
,0,9,6,1
,0,10,10,5
,0,11,8,2
,0,12,2,3
,0,13,2,4
,0,14,7,1
,0,15,6,5
,0,16,8,2
,0,17,7,3
,0,18,7,4
,0,19,1,1
,0,20,9,5
,0,21,2,2
,0,22,1,3
,0,23,1,4
,0,24,4,1
,0,25,2,5
,0,26,7,2
,0,27,4,3
,0,28,5,4
,0,29,6,1
,0,30,4,2
,0,31,4,3
,0,32,6,4
,0,33,6,1
,0,34,4,2
,0,35,5,3
,0,36,10,4
,0,37,10,1
,0,38,4,2
,0,39,5,3
,0,40,10,4
,0,41,3,1
,0,42,5,2
,0,43,5,3
,0,44,3,4
,0,45,3,1
,0,46,6,3
,0,47,2,4
,0,48,7,1
,0,49,6,3
,0,50,7,4
,0,51,7,1
,0,52,6,3
,0,53,1,4
,0,54,1,1
,0,55,4,1
,0,56,3,1
,0,57,3,1
,0,58,9,1
,0,59,4,1
