15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,2,5
,0,1,2,2
,0,2,7,3
,0,3,3,4
,0,4,9,1
,0,5,9,5
,0,6,1,2
,0,7,1,3
,0,8,5,4
,0,9,2,1
,0,10,7,5
,0,11,7,2
,0,12,9,3
,0,13,9,4
,0,14,6,1
,0,15,10,5
,0,16,4,2
,0,17,4,3
,0,18,5,4
,0,19,7,1
,0,20,6,5
,0,21,4,2
,0,22,4,3
,0,23,2,4
,0,24,7,1
,0,25,6,5
,0,26,4,2
,0,27,4,3
,0,28,2,4
,0,29,7,1
,0,30,3,2
,0,31,6,3
,0,32,6,4
,0,33,10,1
,0,34,5,2
,0,35,5,3
,0,36,7,4
,0,37,3,1
,0,38,8,2
,0,39,6,3
,0,40,10,4
,0,41,1,1
,0,42,8,2
,0,43,6,3
,0,44,10,4
,0,45,1,1
,0,46,5,3
,0,47,7,4
,0,48,3,1
,0,49,5,3
,0,50,1,4
,0,51,4,1
,0,52,2,3
,0,53,1,4
,0,54,4,1
,0,55,4,1
,0,56,3,1
,0,57,3,1
,0,58,6,1
,0,59,6,1
