15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,2,2
,0,1,4,10
,0,2,11,8
,0,3,11,5
,0,4,16,7
,0,5,19,4
,0,6,13,1
,0,7,3,6
,0,8,3,3
,0,9,13,9
,0,10,15,2
,0,11,15,10
,0,12,3,8
,0,13,3,5
,0,14,1,7
,0,15,6,4
,0,16,8,1
,0,17,9,6
,0,18,9,3
,0,19,15,2
,0,20,15,10
,0,21,10,8
,0,22,10,5
,0,23,6,7
,0,24,20,4
,0,25,15,1
,0,26,1,6
,0,27,5,3
,0,28,5,2
,0,29,1,10
,0,30,6,8
,0,31,18,5
,0,32,2,7
,0,33,2,4
,0,34,15,1
,0,35,20,6
,0,36,20,2
,0,37,2,10
,0,38,4,8
,0,39,14,5
,0,40,19,7
,0,41,15,4
,0,42,17,1
,0,43,3,2
,0,44,3,10
,0,45,6,8
,0,46,20,5
,0,47,8,7
,0,48,10,4
,0,49,10,1
,0,50,1,2
,0,51,18,10
,0,52,11,8
,0,53,16,5
,0,54,19,7
,0,55,10,4
,0,56,10,2
,0,57,18,10
,0,58,11,8
,0,59,9,5
,0,60,9,7
,0,61,3,2
,0,62,2,10
,0,63,14,8
,0,64,13,5
,0,65,15,7
,0,66,3,2
,0,67,11,10
,0,68,14,8
,0,69,15,5
,0,70,17,7
,0,71,10,2
,0,72,11,10
,0,73,14,8
,0,74,15,5
,0,75,19,7
,0,76,19,2
,0,77,7,10
,0,78,12,8
,0,79,17,5
,0,80,9,7
,0,81,9,2
,0,82,12,10
,0,83,16,8
,0,84,2,5
,0,85,2,2
,0,86,14,10
,0,87,16,8
,0,88,4,5
,0,89,4,2
,0,90,9,10
,0,91,16,8
,0,92,16,2
,0,93,13,10
,0,94,19,8
,0,95,19,2
,0,96,17,10
,0,97,10,2
,0,98,17,10
,0,99,10,2
,0,100,6,2
,0,101,6,2
,0,102,18,2
,0,103,20,2
,0,104,4,2
,0,105,8,2
,0,106,8,2
,0,107,14,2
,0,108,14,2
,0,109,19,2
,0,110,7,2
,0,111,7,2
,0,112,9,2
,0,113,6,2
,0,114,18,2
,0,115,20,2
,0,116,8,2
,0,117,8,2
,0,118,14,2
,0,119,7,2
