15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,7,2
,0,1,5,2
,0,2,7,2
,0,3,8,3
,0,4,3,2
,0,5,8,2
,0,6,5,2
,0,7,5,4
,0,8,4,1
,0,9,2,2
,0,10,7,2
,0,11,6,2
,0,12,5,3
,0,13,1,2
,0,14,4,2
,0,15,10,2
,0,16,7,2
,0,17,2,3
,0,18,10,3
,0,19,10,2
,0,20,9,2
,0,21,5,2
,0,22,5,2
,0,23,2,3
,0,24,1,2
,0,25,2,2
,0,26,10,2
,0,27,4,5
,0,28,7,2
,0,29,7,1
,0,30,4,3
,0,31,7,2
,0,32,10,1
,0,33,9,3
,0,34,5,2
,0,35,4,3
,0,36,5,1
,0,37,10,2
,0,38,3,2
,0,39,9,3
,0,40,6,3
,0,41,6,2
,0,42,4,2
,0,43,4,5
,0,44,6,2
,0,45,3,3
,0,46,8,2
,0,47,9,2
,0,48,10,2
,0,49,4,2
,0,50,9,2
,0,51,7,2
,0,52,9,2
,0,53,7,2
,0,54,6,2
,0,55,5,2
,0,56,6,2
,0,57,9,2
,0,58,8,3
,0,59,1,1
